MicrobeID	PubSeedID	x2_CompleteComparativeGenomics_1_CertainComparativeGeno	Strain	Species	Genus	Family	Order	Class	Phylum	NCBItaxID	AnnotationVersionID	Gram_Staining	PresentInAGORA2	Oxygen Requirement	Gram Staining
Aliivibrio_sp_S50_bc45	N/A	NaN	Aliivibrio_sp_S50_bc45	sp	Aliivibrio	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Aliivibrio_sp_A31_bc75	N/A	NaN	Aliivibrio_sp_A31_bc75	sp	Aliivibrio	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Aliivibrio_sp_A16_bc60	N/A	NaN	Aliivibrio_sp_A16_bc60	sp	Aliivibrio	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Aliivibrio_sp_A10_bc56	N/A	NaN	Aliivibrio_sp_A10_bc56	sp	Aliivibrio	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Aliivibrio_sp_A13_bc59	N/A	NaN	Aliivibrio_sp_A13_bc59	sp	Aliivibrio	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Aliivibrio_sp_A20_bc64	N/A	NaN	Aliivibrio_sp_A20_bc64	sp	Aliivibrio	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Aliivibrio_sp_A26_bc70	N/A	NaN	Aliivibrio_sp_A26_bc70	sp	Aliivibrio	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Aliivibrio_salmonicida_A_A32_bc76	N/A	NaN	Aliivibrio_salmonicida_A_A32_bc76	salmonicida	Aliivibrio	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Aliivibrio_salmonicida_A_A25_bc69	N/A	NaN	Aliivibrio_salmonicida_A_A25_bc69	salmonicida	Aliivibrio	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Aliivibrio_salmonicida_A_NWS_MAG_00012	N/A	NaN	Aliivibrio_salmonicida_A_NWS_MAG_00012	salmonicida	Aliivibrio	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Aliivibrio_sp_A24_bc68	N/A	NaN	Aliivibrio_sp_A24_bc68	NA	Aliivibrio	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Aliivibrio_sp_A11_bc57	N/A	NaN	Aliivibrio_sp_A11_bc57	NA	Aliivibrio	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Aliivibrio_sp_A23_bc67	N/A	NaN	Aliivibrio_sp_A23_bc67	NA	Aliivibrio	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Aliivibrio_sp_A21_bc65	N/A	NaN	Aliivibrio_sp_A21_bc65	NA	Aliivibrio	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Aliivibrio_sp_A37_bc81	N/A	NaN	Aliivibrio_sp_A37_bc81	sp	Aliivibrio	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Aliivibrio_sp_A2_bc49	N/A	NaN	Aliivibrio_sp_A2_bc49	sp	Aliivibrio	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Aliivibrio_sp_A17_bc61	N/A	NaN	Aliivibrio_sp_A17_bc61	sp	Aliivibrio	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Aliivibrio_finisterrensis_MAG_02	N/A	NaN	Aliivibrio_finisterrensis_MAG_02	finisterrensis	Aliivibrio	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Aliivibrio_finisterrensis_MAG_01	N/A	NaN	Aliivibrio_finisterrensis_MAG_01	finisterrensis	Aliivibrio	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Vibrio_splendidus_S52_bc47	N/A	NaN	Vibrio_splendidus_S52_bc47	splendidus	Vibrio	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative anaerobe	Gram-
Vibrio_splendidus_S51_bc46	N/A	NaN	Vibrio_splendidus_S51_bc46	splendidus	Vibrio	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative anaerobe	Gram-
Vibrio_splendidus_S43_bc38	N/A	NaN	Vibrio_splendidus_S43_bc38	splendidus	Vibrio	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative anaerobe	Gram-
Photobacterium_phosphoreum_S48_bc43	N/A	NaN	Photobacterium_phosphoreum_S48_bc43	phosphoreum	Photobacterium	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Anaerobe	Gram-
Photobacterium_phosphoreum_A38_bc82	N/A	NaN	Photobacterium_phosphoreum_A38_bc82	phosphoreum	Photobacterium	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Anaerobe	Gram-
Photobacterium_phosphoreum_S49_bc44	N/A	NaN	Photobacterium_phosphoreum_S49_bc44	phosphoreum	Photobacterium	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Anaerobe	Gram-
Photobacterium_phosphoreum_A12_bc58	N/A	NaN	Photobacterium_phosphoreum_A12_bc58	phosphoreum	Photobacterium	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Anaerobe	Gram-
Photobacterium_phosphoreum_S22_bc18	N/A	NaN	Photobacterium_phosphoreum_S22_bc18	phosphoreum	Photobacterium	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Anaerobe	Gram-
Photobacterium_phosphoreum_S17_bc13	N/A	NaN	Photobacterium_phosphoreum_S17_bc13	phosphoreum	Photobacterium	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Anaerobe	Gram-
Photobacterium_phosphoreum_S39_bc34	N/A	NaN	Photobacterium_phosphoreum_S39_bc34	phosphoreum	Photobacterium	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Anaerobe	Gram-
Photobacterium_phosphoreum_S19_bc15	N/A	NaN	Photobacterium_phosphoreum_S19_bc15	phosphoreum	Photobacterium	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Anaerobe	Gram-
Photobacterium_phosphoreum_S20_bc16	N/A	NaN	Photobacterium_phosphoreum_S20_bc16	phosphoreum	Photobacterium	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Anaerobe	Gram-
Photobacterium_phosphoreum_MAG_02	N/A	NaN	Photobacterium_phosphoreum_MAG_02	phosphoreum	Photobacterium	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Anaerobe	Gram-
Photobacterium_phosphoreum_MAG_01	N/A	NaN	Photobacterium_phosphoreum_MAG_01	phosphoreum	Photobacterium	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Anaerobe	Gram-
Photobacterium_phosphoreum_MAG_03	N/A	NaN	Photobacterium_phosphoreum_MAG_03	phosphoreum	Photobacterium	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Anaerobe	Gram-
Photobacterium_sp_A22_bc66	N/A	NaN	Photobacterium_sp_A22_bc66	NA	Photobacterium	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Anaerobe	Gram-
Vibrionaceae_NWS_MAG_00017	N/A	NaN	Vibrionaceae_NWS_MAG_00017	NA	Enterobacterales	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	0	Gram-
Lelliottia_amnigena_S20_bc20	N/A	NaN	Lelliottia_amnigena_S20_bc20	amnigena	Lelliottia	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	0	Gram-
Lelliottia_amnigena_S10_bc10	N/A	NaN	Lelliottia_amnigena_S10_bc10	amnigena	Lelliottia	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	0	Gram-
Lelliottia_amnigena_S31_bc31	N/A	NaN	Lelliottia_amnigena_S31_bc31	amnigena	Lelliottia	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	0	Gram-
Lelliottia_amnigena_S30_bc30	N/A	NaN	Lelliottia_amnigena_S30_bc30	amnigena	Lelliottia	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	0	Gram-
Lelliottia_amnigena_S28_bc28	N/A	NaN	Lelliottia_amnigena_S28_bc28	amnigena	Lelliottia	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	0	Gram-
Lelliottia_amnigena_S4_bc4	N/A	NaN	Lelliottia_amnigena_S4_bc4	amnigena	Lelliottia	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	0	Gram-
Lelliottia_amnigena_S3_bc3	N/A	NaN	Lelliottia_amnigena_S3_bc3	amnigena	Lelliottia	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	0	Gram-
Lelliottia_amnigena_S43_bc43	N/A	NaN	Lelliottia_amnigena_S43_bc43	amnigena	Lelliottia	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	0	Gram-
Lelliottia_amnigena_S32_bc32	N/A	NaN	Lelliottia_amnigena_S32_bc32	amnigena	Lelliottia	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	0	Gram-
Lelliottia_amnigena_S47_bc47	N/A	NaN	Lelliottia_amnigena_S47_bc47	amnigena	Lelliottia	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	0	Gram-
Lelliottia_amnigena_S34_bc34	N/A	NaN	Lelliottia_amnigena_S34_bc34	amnigena	Lelliottia	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	0	Gram-
Lelliottia_amnigena_S22_bc22	N/A	NaN	Lelliottia_amnigena_S22_bc22	amnigena	Lelliottia	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	0	Gram-
Lelliottia_amnigena_S18_bc18	N/A	NaN	Lelliottia_amnigena_S18_bc18	amnigena	Lelliottia	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	0	Gram-
Lelliottia_amnigena_S37_bc37	N/A	NaN	Lelliottia_amnigena_S37_bc37	amnigena	Lelliottia	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	0	Gram-
Lelliottia_amnigena_S13_bc13	N/A	NaN	Lelliottia_amnigena_S13_bc13	amnigena	Lelliottia	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	0	Gram-
Lelliottia_amnigena_S16_bc16	N/A	NaN	Lelliottia_amnigena_S16_bc16	amnigena	Lelliottia	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	0	Gram-
Serratia_liquefaciens_S45_bc45	N/A	NaN	Serratia_liquefaciens_S45_bc45	liquefaciens	Serratia	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative anaerobe	Gram-
Serratia_liquefaciens_S38_bc38	N/A	NaN	Serratia_liquefaciens_S38_bc38	liquefaciens	Serratia	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative anaerobe	Gram-
Aeromonas_bestiarum_S24_bc24	N/A	NaN	Aeromonas_bestiarum_S24_bc24	bestiarum	Aeromonas	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative anaerobe	Gram-
Aeromonas_bestiarum_S23_bc23	N/A	NaN	Aeromonas_bestiarum_S23_bc23	bestiarum	Aeromonas	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative anaerobe	Gram-
Aeromonas_bestiarum_S12_bc12	N/A	NaN	Aeromonas_bestiarum_S12_bc12	bestiarum	Aeromonas	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative anaerobe	Gram-
Aeromonas_bestiarum_S14_bc14	N/A	NaN	Aeromonas_bestiarum_S14_bc14	bestiarum	Aeromonas	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative anaerobe	Gram-
Aeromonas_bestiarum_S9_bc9	N/A	NaN	Aeromonas_bestiarum_S9_bc9	bestiarum	Aeromonas	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative anaerobe	Gram-
Aeromonas_bestiarum_S6_bc6	N/A	NaN	Aeromonas_bestiarum_S6_bc6	bestiarum	Aeromonas	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative anaerobe	Gram-
Aeromonas_bestiarum_S19_bc19	N/A	NaN	Aeromonas_bestiarum_S19_bc19	bestiarum	Aeromonas	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative anaerobe	Gram-
Aeromonas_bestiarum_S25_bc25	N/A	NaN	Aeromonas_bestiarum_S25_bc25	bestiarum	Aeromonas	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative anaerobe	Gram-
Aeromonas_bestiarum_S27_bc27	N/A	NaN	Aeromonas_bestiarum_S27_bc27	bestiarum	Aeromonas	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative anaerobe	Gram-
Aeromonas_bestiarum_S11_bc11	N/A	NaN	Aeromonas_bestiarum_S11_bc11	bestiarum	Aeromonas	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative anaerobe	Gram-
Shewanella_baltica_S30_bc25	N/A	NaN	Shewanella_baltica_S30_bc25	baltica	Shewanella	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Shewanella_baltica_S14_bc11	N/A	NaN	Shewanella_baltica_S14_bc11	baltica	Shewanella	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Shewanella_baltica_S32_bc27	N/A	NaN	Shewanella_baltica_S32_bc27	baltica	Shewanella	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Shewanella_baltica_S5_bc05	N/A	NaN	Shewanella_baltica_S5_bc05	baltica	Shewanella	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Shewanella_baltica_S15_bc12	N/A	NaN	Shewanella_baltica_S15_bc12	baltica	Shewanella	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Shewanella_baltica_A7_bc53	N/A	NaN	Shewanella_baltica_A7_bc53	baltica	Shewanella	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Shewanella_baltica_S4_bc04	N/A	NaN	Shewanella_baltica_S4_bc04	baltica	Shewanella	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Shewanella_sp_S8_bc8	N/A	NaN	Shewanella_sp_S8_bc8	sp	Shewanella	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Shewanella_sp_S7_bc7	N/A	NaN	Shewanella_sp_S7_bc7	sp	Shewanella	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Shewanella_hanedai_NWS_MAG_00004	N/A	NaN	Shewanella_hanedai_NWS_MAG_00004	hanedai	Shewanella	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Shewanella_sp_A9_bc55	N/A	NaN	Shewanella_sp_A9_bc55	NA	Shewanella	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Shewanella_sp_NWS_MAG_00001	N/A	NaN	Shewanella_sp_NWS_MAG_00001	NA	Shewanella	NaN	Enterobacterales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Facultative	Gram-
Pseudomonas_E_sp_S3_bc03	N/A	NaN	Pseudomonas_E_sp_S3_bc03	sp	Pseudomonas	NaN	Pseudomonadales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Aerobe	Gram-
Pseudomonas_E_sp_S36_bc31	N/A	NaN	Pseudomonas_E_sp_S36_bc31	sp	Pseudomonas	NaN	Pseudomonadales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Aerobe	Gram-
Pseudomonas_E_sp_S8_bc07	N/A	NaN	Pseudomonas_E_sp_S8_bc07	sp	Pseudomonas	NaN	Pseudomonadales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Aerobe	Gram-
Pseudomonas_E_iridis_S37_bc32	N/A	NaN	Pseudomonas_E_iridis_S37_bc32	iridis	Pseudomonas	NaN	Pseudomonadales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Aerobe	Gram-
Pseudomonas_E_iridis_S35_bc30	N/A	NaN	Pseudomonas_E_iridis_S35_bc30	iridis	Pseudomonas	NaN	Pseudomonadales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Aerobe	Gram-
Pseudomonas_E_iridis_S13_bc10	N/A	NaN	Pseudomonas_E_iridis_S13_bc10	iridis	Pseudomonas	NaN	Pseudomonadales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Aerobe	Gram-
Pseudomonas_E_yamanorum_MAG_02	N/A	NaN	Pseudomonas_E_yamanorum_MAG_02	yamanorum	Pseudomonas	NaN	Pseudomonadales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Aerobe	Gram-
Pseudomonas_E_yamanorum_MAG_01	N/A	NaN	Pseudomonas_E_yamanorum_MAG_01	yamanorum	Pseudomonas	NaN	Pseudomonadales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Aerobe	Gram-
Pseudomonas_E_qingdaonensis_S5_bc5	N/A	NaN	Pseudomonas_E_qingdaonensis_S5_bc5	qingdaonensis	Pseudomonas	NaN	Pseudomonadales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Aerobe	Gram-
Pseudomonas_E_qingdaonensis_S29_bc29	N/A	NaN	Pseudomonas_E_qingdaonensis_S29_bc29	qingdaonensis	Pseudomonas	NaN	Pseudomonadales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Aerobe	Gram-
Pseudomonas_A_stutzeri_MAG_01	N/A	NaN	Pseudomonas_A_stutzeri_MAG_01	stutzeri	Pseudomonas	NaN	Pseudomonadales	NaN	Proteobacteria	NaN	NaN	Gram-	No	Aerobe	Gram-
