MicrobeID	Ammonia	Hydrogen	Isethionate	Menaquinone	Methanol	Methylamine	Niacin	Nitrogen (N2)	Nitrite	Nitrate	Pantothenate	Phenol	2-methylbutyrate	1,2-propanediol	Cobalamin	Linoleic acid	alpha-Linolenic acid	Benzoate	Betaine	Bicarbonate	Biotin	Chenodeoxycholate	Cholate	Dimethylamine	Folate	Formate	Glycochenodeoxycholate	Pyridoxal	Propanol	Uridine	Urea	Riboflavin	Shikimate	Spermidine	Sulfate	Valerate	Tryptamine	Tyramine	Trimethylamine	Taurine	Taurochenodeoxycholate	Taurocholate	Thiamine	Thymidine	Thiosulfate	Glycocholate	4-Aminobenzoate	4-Aminobutyrate	2,3-Butanediol	Glycodeoxycholate	Glycolithocholate	Taurodeoxycholate	Taurolithocholate	1,2-Ethanediol	L-alanine	L-arginine	L-asparagine	L-aspartate	L-cysteine	L-glutamate	L-glutamine	Glycine	L-histidine	L-isoleucine	L-leucine	L-lysine	L-methionine	L-phenylalanine	L-proline	L-serine	L-threonine	L-tryptophan	L-tyrosine	L-valine	3-Methylhistidine	4-methyl-2-oxopentanoate	5-oxoprolinate	Choline	Hexanoyl-Glycine	Hypoxanthine	L-citrulline	N(2)-acetyl-L-ornithine	N-Acetyl-Tyrosine	N-Acetylmethionine	N-acetyl-L-aspartate(2-)	N-acetylneuraminate	Ornithine	Xanthine	aldehydo-D-xylose	choline phosphate(1-)	cytosine	indole-3-acetate	keto-phenylpyruvate	trans-4-hydroxy-L-proline	uracil	Acetyl-Glycine	Glutarate	Urate	(R)-Pantothenate	Homocitrulline	L-Carnitine	anthranilate	creatine	creatinine	kynurenate	Ref
Aeromonas_bestiarum_S11_bc11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
Aeromonas_bestiarum_S12_bc12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
Aeromonas_bestiarum_S14_bc14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
Aeromonas_bestiarum_S19_bc19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
Aeromonas_bestiarum_S23_bc23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
Aeromonas_bestiarum_S24_bc24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
Aeromonas_bestiarum_S25_bc25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
Aeromonas_bestiarum_S27_bc27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
Aeromonas_bestiarum_S6_bc6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
Aeromonas_bestiarum_S9_bc9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
